Id	username	All	User	Friend	Network	Content	Sentiment	Temporal	LanguageAgnostic
3487606421		0.45	0.42	0.93	0.595	0.62	0.44	0.64	0.48	
1578095880		0.42	0.51	0.39	0.22	0.53	0.25	0.22	0.34	
248275148		0.53	0.4	0.49	0.41	0.51	0.45	0.11	0.32	
266894776		0.33	0.44	0.2	0.21	0.37	0.26	0.31	0.35	
34453466		0.34	0.02	0.33	0.31	0.37	0.2	0.23	0.22	
378889645		0.33	0.08	0.21	0.36	0.49	0.35	0.12	0.25	
22237401		0.47	0.42	0.45	0.23	0.49	0.32	0.51	0.37	
1941901813		0.38	0.64	0.27	0.36	0.38	0.23	0.22	0.28	
513734380		0.5	0.03	0.56	0.5	0.66	0.6	0.74	0.33	
17468666		0.48	0.26	0.47	0.7	0.51	0.29	0.17	0.38	
4260246673		0.46	0.28	0.19	0.33	0.51	0.39	0.02	0.33	
229470916		0.3	0.11	0.26	0.17	0.31	0.17	0.13	0.21	
36618079		0.4	0.29	0.47	0.23	0.23	0.2	0.19	0.4	
2178421679		0.29	0.14	0.23	0.3	0.52	0.16	0.35	0.28	
3420965393		0.64	0.57	0.54	0.59	0.46	0.58	0.46	0.61	
3266700752		0.38	0.12	0.23	0.51	0.49	0.28	0.22	0.29	
14293310		0.52	0.34	0.6	0.45	0.58	0.58	0.54	0.44	
18190205		0.6	0.75	0.44	0.65	0.49	0.31	0.15	0.64	
2860925230		0.6	0.65	0.58	0.55	0.61	0.75	0.27	0.69	
44114618		0.34	0.13	0.18	0.31	0.41	0.44	0.21	0.26	
23022687		0.55	0.72	0.31	0.54	0.5	0.49	0.38	0.34	
513316414		0.3	0.09	0.27	0.14	0.41	0.27	0.14	0.27	
284210345		0.21	0.2	0.3	0.14	0.36	0.32	0.07	0.27	
472653307		0.37	0.31	0.39	0.45	0.4	0.3	0.1	0.44	
826163564		0.28	0.11	0.28	0.3	0.43	0.35	0.35	0.22	
474066334		0.31	0.22	0.22	0.31	0.44	0.19	0.15	0.18	
67765647		0.31	0.18	0.2	0.47	0.46	0.41	0.19	0.32	
180542862		0.33	0.42	0.27	0.24	0.38	0.25	0.35	0.31	
330667582		0.28	0.23	0.33	0.18	0.38	0.36	0.16	0.24	
2883458831		0.38	0.36	0.35	0.37	0.38	0.37	0.34	0.27	
78330077		0.34	0.15	0.22	0.31	0.46	0.25	0.2	0.22	
2292880440		0.3	0.21	0.45	0.15	0.55	0.5	0.12	0.26	
160091538		0.33	0.05	0.29	0.36	0.44	0.26	0.16	0.22	
263330063		0.35	0.18	0.51	0.38	0.5	0.42	0.81	0.18	
468752441		0.56	0.31	0.59	0.38	0.39	0.37	0.07	0.47	
48230664		0.22	0.27	0.28	0.39	0.54	0.29	0.1	0.18	
2475879654		0.36	0.12	0.4	0.47	0.44	0.63	0.37	0.38	
4749272904		0.38	0.22	0.26	0.31	0.19	0.13	0.26	0.3	
3676047863		0.32	0.12	0.28	0.31	0.53	0.19	0.29	0.3	
31257236		0.68	0.75	0.42	0.19	0.67	0.68	0.4	0.66	
3538733835		0.43	0.2	0.28	0.53	0.47	0.31	0.24	0.38	
789285135397036032		0.36	0.15	0.22	0.5	0.37	0.25	0.15	0.26	
81577736		0.32	0.12	0.31	0.31	0.46	0.14	0.25	0.32	
116265605		0.34	0.36	0.793147133651	0.5715	0.83	0.86	0.6	0.16	
567626521		0.51	0.49	0.58	0.58	0.5	0.38	0.56	0.55	
473528903		0.34	0.16	0.42	0.16	0.33	0.41	0.11	0.26	
4809716843		0.3	0.27	0.37	0.19	0.37	0.44	0.13	0.4	
733831302		0.26	0.12	0.42	0.14	0.48	0.3	0.16	0.2	
756531416720998400		0.3	0.31	0.34	0.27	0.41	0.28	0.26	0.27	
4865886784		0.24	0.02	0.34	0.11	0.41	0.3	0.22	0.2	
88689345		0.31	0.13	0.38	0.1	0.61	0.46	0.27	0.18	
167603204		0.59	0.56	0.51	0.43	0.57	0.45	0.49	0.49	
