Source,Target,weight
211499356,2690473674,1.0
211499356,197838315,1.0
211499356,375669510,1.0
211499356,859893019,1.0
1250525803,701044608713695233,1.0
2546509795,46930158,1.0
2546509795,34754579,1.0
2546509795,95199214,1.0
2546509795,2405138402,1.0
138870199,321448767,1.0
633015465,633015465,1.0
633015465,52772666,1.0
2738798022,21800713,1.0
2738798022,35517356,1.0
2738798022,4204682079,1.0
16067067,3058539006,1.0
16067067,885741559,1.0
1945668452,2980186012,1.0
94818581,275224483,1.0
94818581,604115899,1.0
94818581,786236978589163520,1.0
94818581,700386430510497792,1.0
94818581,705403933280305153,1.0
94818581,4851826737,1.0
94818581,710932536420077568,1.0
94818581,3340871699,1.0
94818581,4479753433,1.0
94818581,2335728060,1.0
94818581,2530520976,1.0
94818581,716277183,1.0
94818581,1904454054,1.0
94818581,4224750852,1.0
94818581,2969469335,1.0
94818581,301232050,1.0
94818581,762347611693219840,1.0
94818581,3058539006,1.0
94818581,4875704002,1.0
94818581,788184689576071169,1.0
94818581,250484469,1.0
94818581,2912578097,1.0
94818581,1507953240,1.0
94818581,1222028304,1.0
94818581,4645471333,1.0
94818581,764572902125608960,1.0
94818581,782798424466984960,1.0
94818581,4784793518,1.0
94818581,788107036722622464,1.0
94818581,4821423943,1.0
94818581,4888890794,1.0
94818581,874650284,1.0
94818581,729669192908214273,1.0
94818581,3439063247,1.0
94818581,705188885064617986,1.0
94818581,94818581,1.0
94818581,274702185,1.0
94818581,2816884906,1.0
1363394484,2515686963,1.0
339211496,3089040558,1.0
339211496,110601992,1.0
339211496,40144113,1.0
339211496,725076888561979393,1.0
23479954,4445235254,1.0
23479954,250365695,1.0
786413210844798976,718589881904009216,1.0
786413210844798976,338120667,1.0
1710705968,4179814341,1.0
1710705968,764205921144832000,1.0
1710705968,260954365,1.0
1710705968,2389476140,1.0
1710705968,600143518,1.0
3171811522,713134184102014976,1.0
3171811522,786711289427034113,1.0
3171811522,1003638126,1.0
3171811522,2378589452,1.0
3171811522,734151311260823553,1.0
3171811522,74309360,1.0
3171811522,884304968,1.0
3171811522,3412642223,1.0
3171811522,1675606220,1.0
3171811522,793569099909562368,1.0
3171811522,2175192882,1.0
3171811522,745146545008316422,1.0
3171811522,2571409351,1.0
4861610124,252398984,1.0
261040803,83841942,1.0
261040803,18382395,1.0
261040803,3440693962,1.0
261040803,788384602960297984,1.0
261040803,127039123,1.0
261040803,2783495877,1.0
261040803,235698522,1.0
261040803,766060892433838081,1.0
261040803,2315451122,1.0
261040803,4925162165,1.0
261040803,315577494,1.0
3415590485,50913224,1.0
4351416912,493926139,1.0
2178474662,15502432,1.0
2178474662,261736294,1.0
2178474662,2944280244,1.0
621422144,1164705565,1.0
621422144,63826026,1.0
621422144,30644500,1.0
621422144,4860867953,1.0
621422144,2780520277,1.0
288283415,305059732,1.0
288283415,2924844877,1.0
288283415,261098344,1.0
288283415,58607069,1.0
288283415,528064878,1.0
1158343814,763130254231756802,1.0
1158343814,2664963486,1.0
1158343814,635195109,1.0
1158343814,764338030731603968,1.0
34458884,2924716780,1.0
783462236744327169,815973549705981953,1.0
783462236744327169,57058641,1.0
783462236744327169,801425492540878848,1.0
783462236744327169,837091313052971008,1.0
783462236744327169,814573464388505600,1.0
783462236744327169,21784741,1.0
783462236744327169,828215223911870464,1.0
783462236744327169,808033762869211138,1.0
783462236744327169,799889427229245440,1.0
783462236744327169,822656671826771968,1.0
783462236744327169,810240752072740864,1.0
29829448,5474512,1.0
29829448,238366185,1.0
29829448,29230247,1.0
27671624,2741655314,1.0
27671624,90286816,1.0
27671624,31393320,1.0
27671624,40968275,1.0
27671624,3286910690,1.0
27671624,4493790927,1.0
27671624,2253942480,1.0
27671624,247269447,1.0
27671624,314676814,1.0
27671624,2956302163,1.0
27671624,4288324559,1.0
27671624,209103227,1.0
27671624,538481859,1.0
27671624,703568996851777536,1.0
27671624,202164048,1.0
27671624,37076194,1.0
11640472,1166831280,1.0
11640472,774672882,1.0
11640472,22961333,1.0
11640472,764293754954125313,1.0
11640472,191964162,1.0
11640472,55476641,1.0
11640472,1653547458,1.0
11640472,793021207,1.0
11640472,17043217,1.0
11640472,12733902,1.0
408590976,709932573351215104,1.0
408590976,2378961661,1.0
408590976,1287114889,1.0
408590976,703427540061257728,1.0
408590976,3900280775,1.0
408590976,1496608986,1.0
408590976,708087467,1.0
408590976,63826026,1.0
408590976,2416974884,1.0
408590976,788413577237495808,1.0
408590976,1531238594,1.0
408590976,28932042,1.0
408590976,36298390,1.0
408590976,245817678,1.0
408590976,79732988,1.0
408590976,4798877776,1.0
408590976,29108589,1.0
408590976,4468874174,1.0
408590976,727348590507642880,1.0
408590976,29048085,1.0
408590976,301212396,1.0
408590976,14503017,1.0
408590976,2571409351,1.0
408590976,253637278,2.0
408590976,764086009927700480,1.0
408590976,4847877405,1.0
408590976,557789129,1.0
408590976,4907357938,1.0
408590976,429978726,1.0
408590976,2305350474,1.0
408590976,30996996,1.0
408590976,60420690,1.0
408590976,37102679,1.0
408590976,374284455,1.0
70308625,15640075,1.0
70308625,382209139,1.0
59868822,767422731423997953,1.0
59868822,588329379,1.0
59868822,4054001539,1.0
59868822,4875352630,1.0
59868822,3309927150,1.0
59868822,353463744,1.0
59868822,563818933,1.0
59868822,21785414,1.0
59868822,3070489297,1.0
59868822,2391736411,1.0
59868822,157054921,1.0
59868822,3711496576,1.0
229711660,3637329082,1.0
229711660,44041065,1.0
229711660,710088641243123712,1.0
2169327943,2263754155,1.0
1369895352,394844566,1.0
1369895352,2268208070,1.0
1369895352,49099638,1.0
1369895352,363266582,1.0
1369895352,553548133,1.0
1369895352,718933058200674304,1.0
1369895352,395023502,1.0
1369895352,2610325766,1.0
1369895352,709383313983725568,1.0
1369895352,794686375178092544,1.0
1369895352,345696624,1.0
1369895352,3828830052,1.0
1369895352,898219136,1.0
1369895352,733638588714352640,1.0
1369895352,789479766780809216,1.0
1369895352,475056290,1.0
1369895352,1403108310,1.0
1369895352,414563038,1.0
1369895352,1164139794,1.0
1369895352,1390706478,1.0
1369895352,762551773940768768,1.0
1369895352,53290939,1.0
1369895352,2194393136,1.0
1369895352,3228616728,1.0
1369895352,32892321,1.0
