userID	username	All	User	Friend	Network	Content	Sentiment	Temporal	LanguageAgnostic
260369607		0.41	0.38	0.36	0.22	0.49	0.64	0.45	0.31	
269003820		0.29	0.42	0.2	0.18	0.47	0.39	0.41	0.22	
749455671918297088		0.55	0.44	0.56	0.47	0.53	0.5	0.51	0.44	
18401402		0.27	0.09	0.45	0.32	0.37	0.4	0.31	0.24	
836831760		0.46	0.13	0.42	0.41	0.49	0.46	0.25	0.47	
3884926699		0.38	0.36	0.38	0.51	0.48	0.42	0.3	0.31	
56238923		0.37	0.2	0.36	0.21	0.38	0.24	0.17	0.22	
2532648118		0.19	0.21	0.33	0.16	0.35	0.18	0.13	0.25	
2321272902		0.51	0.42	0.42	0.35	0.57	0.29	0.39	0.4	
229701797		0.25	0.12	0.17	0.28	0.31	0.35	0.39	0.14	
741083975196639237		0.33	0.24	0.51	0.17	0.29	0.39	0.38	0.29	
3159627277		0.21	0.3	0.21	0.19	0.32	0.24	0.37	0.22	
485317023		0.3	0.22	0.18	0.28	0.52	0.48	0.29	0.25	
145285683		0.3	0.26	0.41	0.39	0.46	0.39	0.5	0.38	
761400129614151682		0.3	0.41	0.35	0.28	0.4	0.43	0.24	0.25	
462360228		0.29	0.2	0.36	0.28	0.4	0.41	0.39	0.26	
35491164		0.44	0.26	0.48	0.4	0.53	0.53	0.39	0.4	
236383742		0.3	0.19	0.22	0.24	0.27	0.29	0.42	0.2	
73717434		0.36	0.34	0.23	0.18	0.51	0.22	0.33	0.29	
872786449		0.48	0.3	0.34	0.45	0.44	0.44	0.57	0.36	
758694916268564481		0.4	0.23	0.54	0.34	0.36	0.23	0.22	0.27	
173241286		0.11	0.02	0.11	0.17	0.34	0.23	0.03	0.12	
963257515		0.35	0.07	0.72	0.874019591072	0.44	0.6	0.59	0.33	
239517776		0.28	0.23	0.26	0.38	0.38	0.44	0.54	0.25	
1475428734		0.29	0.32	0.2	0.34	0.47	0.24	0.35	0.24	
1020763850		0.27	0.43	0.38	0.14	0.29	0.34	0.14	0.43	
760931331127779328		0.31	0.19	0.37	0.33	0.45	0.26	0.61	0.16	
203104573		0.21	0.07	0.35	0.22	0.26	0.31	0.3	0.26	
3038933527		0.4	0.36	0.57	0.33	0.24	0.31	0.36	0.48	
721737068322271232		0.51	0.64	0.66	0.5	0.4	0.29	0.42	0.55	
247432690		0.44	0.28	0.58	0.19	0.43	0.51	0.17	0.5	
15972765		0.42	0.51	0.27	0.46	0.44	0.39	0.29	0.37	
3324009111		0.35	0.13	0.35	0.46	0.4	0.3	0.09	0.36	
709040768		0.29	0.24	0.35	0.12	0.41	0.32	0.24	0.36	
277727876		0.17	0.09	0.43	0.26	0.3	0.33	0.34	0.18	
977332836		0.25	0.07	0.4	0.14	0.36	0.26	0.44	0.17	
528615281		0.29	0.09	0.13	0.2	0.635	0.37	0.31	0.21	
581938804		0.18	0.02	0.27	0.16	0.25	0.1	0.14	0.25	
892122942		0.31	0.09	0.27	0.32	0.49	0.41	0.24	0.16	
57603422		0.62	0.39	0.63	0.43	0.49	0.3	0.19	0.57	
1586312654		0.44	0.48	0.38	0.23	0.43	0.43	0.25	0.29	
160348847		0.3	0.26	0.26	0.16	0.41	0.25	0.33	0.23	
2881470998		0.27	0.18	0.25	0.17	0.46	0.23	0.27	0.18	
3344290455		0.4	0.24	0.24	0.41	0.37	0.15	0.15	0.29	
35477769		0.35	0.31	0.35	0.33	0.46	0.47	0.64	0.3	
19379681		0.28	0.15	0.34	0.18	0.41	0.23	0.07	0.25	
197954667		0.38	0.63	0.32	0.58	0.41	0.21	0.14	0.27	
777983613602304001		0.24	0.28	0.25	0.06	0.26	0.32	0.4	0.19	
3192506298		0.39	0.24	0.31	0.51	0.4	0.29	0.12	0.3	
758014770		0.19	0.17	0.15	0.26	0.43	0.29	0.11	0.31	
81660893		0.4	0.18	0.58	0.2	0.31	0.26	0.46	0.47	
705624677650030592		0.32	0.21	0.14	0.34	0.37	0.16	0.08	0.22	
10329862		0.34	0.25	0.4	0.32	0.38	0.36	0.67	0.42	
701769551705313280		0.3	0.18	0.23	0.25	0.3	0.24	0.13	0.28	
27741730		0.32	0.13	0.22	0.4	0.41	0.23	0.19	0.3	
713781393684369408		0.35	0.2	0.23	0.41	0.3	0.29	0.16	0.2	
215293961		0.32	0.33	0.31	0.31	0.48	0.37	0.29	0.24	
4700376662		0.47	0.27	0.33	0.45	0.45	0.32	0.37	0.35	
300313868		0.33	0.14	0.18	0.47	0.55	0.29	0.27	0.3	
1496521154		0.2	0.03	0.13	0.15	0.34	0.13	0.35	0.09	
24787367		0.36	0.32	0.44	0.3	0.21	0.22	0.21	0.38	
758715181266460672		0.32	0.17	0.39	0.31	0.34	0.46	0.49	0.28	
428015407		0.7	0.52	0.72	0.65	0.63	0.46	0.23	0.61	
518359041		0.3	0.18	0.17	0.38	0.29	0.21	0.25	0.27	
518740768		0.29	0.09	0.41	0.49	0.28	0.42	0.45	0.28	
2806394569		0.26	0.11	0.28	0.13	0.41	0.35	0.62	0.12	
758644827386851328		0.43	0.23	0.42	0.3	0.46	0.46	0.32	0.18	
574915137		0.39	0.52	0.31	0.42	0.41	0.4	0.22	0.34	
19377975		0.21	0.05	0.14	0.12	0.4	0.31	0.25	0.21	
702951403514236929		0.4	0.25	0.23	0.52	0.35	0.17	0.18	0.28	
705189196680568834		0.37	0.37	0.42	0.59	0.44	0.38	0.39	0.34	
